sender,receiver,timestamp,topic
ceo@company.com,staff_01@company.com,2024-01-29,Planning
ceo@company.com,staff_07@company.com,2024-02-08,Update
staff_11@company.com,staff_04@company.com,2024-02-22,Planning
staff_14@company.com,staff_06@company.com,2024-02-21,Report
staff_01@company.com,hr_lead@company.com,2024-02-23,Report
cto@company.com,staff_15@company.com,2024-01-07,Update
ceo@company.com,hr_lead@company.com,2024-02-07,Update
staff_11@company.com,staff_13@company.com,2024-02-17,Update
ceo@company.com,staff_12@company.com,2024-02-17,Coffee
staff_04@company.com,staff_02@company.com,2024-01-16,Planning
staff_05@company.com,staff_13@company.com,2024-01-04,Coffee
ceo@company.com,staff_08@company.com,2024-01-25,Report
cto@company.com,staff_11@company.com,2024-02-27,Planning
staff_04@company.com,staff_06@company.com,2024-02-28,Coffee
staff_14@company.com,cto@company.com,2024-02-20,Update
cto@company.com,hr_lead@company.com,2024-01-27,Coffee
sales_lead@company.com,staff_08@company.com,2024-02-29,Planning
ceo@company.com,staff_14@company.com,2024-02-21,Update
staff_02@company.com,staff_07@company.com,2024-02-08,Report
staff_10@company.com,staff_08@company.com,2024-02-09,Coffee
staff_10@company.com,staff_09@company.com,2024-02-07,Planning
staff_01@company.com,staff_03@company.com,2024-01-05,Sync
staff_10@company.com,sales_lead@company.com,2024-02-10,Report
hr_lead@company.com,staff_02@company.com,2024-01-02,Report
staff_13@company.com,hr_lead@company.com,2024-02-08,Sync
staff_05@company.com,staff_09@company.com,2024-02-19,CONFIDENTIAL: Internal Data Export
sales_lead@company.com,staff_09@company.com,2024-01-01,Coffee
staff_09@company.com,eng_lead@company.com,2024-02-17,Sync
staff_12@company.com,sales_lead@company.com,2024-01-07,Update
staff_02@company.com,staff_04@company.com,2024-02-21,Update
staff_06@company.com,staff_08@company.com,2024-02-14,Report
cto@company.com,staff_13@company.com,2024-02-11,Sync
staff_06@company.com,staff_05@company.com,2024-02-24,Report
staff_01@company.com,hr_lead@company.com,2024-02-11,Planning
ceo@company.com,staff_06@company.com,2024-01-18,Update
eng_lead@company.com,staff_05@company.com,2024-01-02,Update
staff_07@company.com,staff_01@company.com,2024-01-28,Update
staff_07@company.com,sales_lead@company.com,2024-01-13,Planning
cto@company.com,staff_09@company.com,2024-01-11,Report
staff_03@company.com,staff_04@company.com,2024-01-23,Planning
ceo@company.com,staff_15@company.com,2024-01-17,Report
staff_06@company.com,staff_01@company.com,2024-02-03,Coffee
staff_04@company.com,staff_06@company.com,2024-02-04,Planning
ceo@company.com,staff_06@company.com,2024-01-25,Report
staff_09@company.com,staff_11@company.com,2024-02-03,Report
cto@company.com,staff_06@company.com,2024-01-27,Update
staff_01@company.com,hr_lead@company.com,2024-01-23,Coffee
ceo@company.com,staff_07@company.com,2024-02-18,Update
cto@company.com,staff_10@company.com,2024-01-11,Update
cto@company.com,staff_13@company.com,2024-01-13,Sync
staff_06@company.com,staff_04@company.com,2024-01-10,Coffee
hr_lead@company.com,eng_lead@company.com,2024-02-16,Planning
staff_03@company.com,staff_11@company.com,2024-01-11,Update
staff_11@company.com,staff_04@company.com,2024-02-06,Coffee
staff_11@company.com,staff_03@company.com,2024-02-22,Report
staff_09@company.com,staff_01@company.com,2024-01-28,Update
staff_03@company.com,sales_lead@company.com,2024-02-07,Update
cto@company.com,staff_11@company.com,2024-02-29,Report
staff_03@company.com,staff_10@company.com,2024-02-02,Report
hr_lead@company.com,staff_12@company.com,2024-02-16,Report
staff_05@company.com,staff_14@company.com,2024-02-11,Planning
staff_06@company.com,cto@company.com,2024-01-09,Report
staff_12@company.com,cto@company.com,2024-01-12,Coffee
staff_11@company.com,staff_10@company.com,2024-01-21,Report
eng_lead@company.com,staff_06@company.com,2024-01-13,Sync
staff_08@company.com,staff_09@company.com,2024-01-10,Coffee
ceo@company.com,eng_lead@company.com,2024-01-17,Planning
staff_11@company.com,sales_lead@company.com,2024-01-09,Planning
staff_12@company.com,cto@company.com,2024-01-20,Sync
staff_02@company.com,hr_lead@company.com,2024-02-15,Sync
staff_02@company.com,hr_lead@company.com,2024-01-03,Planning
eng_lead@company.com,staff_09@company.com,2024-02-22,Planning
staff_07@company.com,staff_13@company.com,2024-02-01,Report
staff_10@company.com,staff_13@company.com,2024-01-10,Update
cto@company.com,eng_lead@company.com,2024-02-15,Report
staff_10@company.com,staff_08@company.com,2024-01-18,Coffee
ceo@company.com,staff_03@company.com,2024-01-01,Coffee
cto@company.com,hr_lead@company.com,2024-01-07,Update
staff_08@company.com,staff_09@company.com,2024-02-03,Coffee
staff_08@company.com,sales_lead@company.com,2024-01-19,Report
sales_lead@company.com,hr_lead@company.com,2024-01-26,Coffee
staff_03@company.com,eng_lead@company.com,2024-01-19,Sync
staff_08@company.com,sales_lead@company.com,2024-02-17,Sync
staff_05@company.com,eng_lead@company.com,2024-02-09,Coffee
cto@company.com,staff_12@company.com,2024-02-05,Planning
cto@company.com,staff_01@company.com,2024-02-26,Planning
staff_08@company.com,staff_04@company.com,2024-02-29,Update
cto@company.com,staff_11@company.com,2024-01-31,Planning
staff_08@company.com,ceo@company.com,2024-01-01,Coffee
ceo@company.com,staff_05@company.com,2024-01-29,Sync
ceo@company.com,staff_02@company.com,2024-02-07,Report
eng_lead@company.com,staff_08@company.com,2024-02-08,Coffee
hr_lead@company.com,staff_07@company.com,2024-01-02,Sync
staff_12@company.com,ceo@company.com,2024-02-06,Report
staff_05@company.com,staff_07@company.com,2024-02-11,Report
staff_01@company.com,staff_11@company.com,2024-01-20,Planning
staff_02@company.com,staff_06@company.com,2024-02-16,Update
cto@company.com,staff_15@company.com,2024-01-23,Update
staff_10@company.com,staff_09@company.com,2024-01-08,Update
staff_09@company.com,staff_10@company.com,2024-02-21,Planning
staff_10@company.com,staff_08@company.com,2024-02-27,Coffee
staff_13@company.com,staff_01@company.com,2024-02-09,Report
staff_01@company.com,staff_03@company.com,2024-03-01,Sync
staff_02@company.com,staff_06@company.com,2024-01-21,Planning
sales_lead@company.com,staff_15@company.com,2024-03-01,Sync
staff_02@company.com,cto@company.com,2024-01-25,Planning
staff_06@company.com,eng_lead@company.com,2024-01-25,Planning
cto@company.com,staff_01@company.com,2024-01-11,Planning
staff_03@company.com,staff_01@company.com,2024-02-09,Sync
ceo@company.com,staff_10@company.com,2024-01-11,Update
ceo@company.com,staff_09@company.com,2024-01-05,Coffee
ceo@company.com,sales_lead@company.com,2024-01-04,Coffee
staff_03@company.com,ceo@company.com,2024-01-13,Sync
ceo@company.com,staff_08@company.com,2024-02-15,Report
staff_10@company.com,ceo@company.com,2024-02-25,Update
staff_02@company.com,staff_01@company.com,2024-01-31,Update
cto@company.com,staff_02@company.com,2024-01-13,Report
ceo@company.com,staff_01@company.com,2024-01-15,Coffee
eng_lead@company.com,staff_07@company.com,2024-02-16,Sync
staff_08@company.com,staff_09@company.com,2024-02-29,Report
ceo@company.com,staff_11@company.com,2024-02-06,Sync
staff_13@company.com,staff_14@company.com,2024-01-10,Coffee
staff_13@company.com,staff_05@company.com,2024-02-23,Planning
eng_lead@company.com,staff_11@company.com,2024-01-14,Report
staff_03@company.com,staff_02@company.com,2024-02-27,Planning
staff_11@company.com,staff_08@company.com,2024-01-09,Report
staff_05@company.com,staff_10@company.com,2024-02-25,Update
ceo@company.com,eng_lead@company.com,2024-02-06,Report
cto@company.com,eng_lead@company.com,2024-01-06,Coffee
cto@company.com,staff_15@company.com,2024-02-17,Update
staff_02@company.com,staff_08@company.com,2024-01-24,Sync
staff_09@company.com,staff_08@company.com,2024-02-28,Coffee
hr_lead@company.com,cto@company.com,2024-01-21,Report
staff_09@company.com,staff_10@company.com,2024-01-05,Planning
cto@company.com,staff_13@company.com,2024-01-28,Report
staff_12@company.com,staff_13@company.com,2024-02-23,Planning
staff_02@company.com,staff_10@company.com,2024-02-14,Planning
staff_13@company.com,staff_01@company.com,2024-02-02,Planning
ceo@company.com,staff_04@company.com,2024-02-22,Planning
staff_04@company.com,staff_07@company.com,2024-02-28,Planning
staff_11@company.com,staff_06@company.com,2024-02-16,Planning
ceo@company.com,eng_lead@company.com,2024-02-12,Sync
cto@company.com,staff_11@company.com,2024-01-07,Report
staff_07@company.com,staff_15@company.com,2024-01-15,Report
staff_05@company.com,staff_06@company.com,2024-01-14,Planning
staff_01@company.com,staff_12@company.com,2024-02-25,Update
ceo@company.com,staff_14@company.com,2024-02-28,Report
cto@company.com,staff_12@company.com,2024-02-09,Planning
cto@company.com,staff_01@company.com,2024-02-07,Report
hr_lead@company.com,staff_13@company.com,2024-01-19,Sync
staff_06@company.com,eng_lead@company.com,2024-02-03,Coffee
ceo@company.com,staff_12@company.com,2024-02-21,Sync
staff_02@company.com,staff_11@company.com,2024-02-12,Update
cto@company.com,staff_10@company.com,2024-01-19,Coffee
staff_03@company.com,staff_01@company.com,2024-01-02,Report
cto@company.com,staff_12@company.com,2024-01-02,Update
staff_10@company.com,staff_12@company.com,2024-02-28,Coffee
ceo@company.com,staff_04@company.com,2024-01-31,Coffee
ceo@company.com,hr_lead@company.com,2024-02-29,Coffee
staff_06@company.com,eng_lead@company.com,2024-02-15,Planning
cto@company.com,hr_lead@company.com,2024-01-30,Sync
ceo@company.com,staff_09@company.com,2024-01-19,Sync
staff_08@company.com,staff_03@company.com,2024-02-26,Planning
staff_09@company.com,staff_03@company.com,2024-01-18,Update
hr_lead@company.com,eng_lead@company.com,2024-01-17,Report
staff_07@company.com,staff_05@company.com,2024-02-07,Planning
cto@company.com,hr_lead@company.com,2024-02-25,Coffee
staff_02@company.com,staff_03@company.com,2024-02-22,Sync
staff_13@company.com,staff_05@company.com,2024-01-04,Sync
staff_11@company.com,sales_lead@company.com,2024-02-17,Coffee
cto@company.com,staff_06@company.com,2024-01-16,Update
staff_04@company.com,eng_lead@company.com,2024-01-08,Planning
cto@company.com,staff_01@company.com,2024-01-03,Sync
staff_03@company.com,staff_08@company.com,2024-02-04,Update
staff_15@company.com,staff_03@company.com,2024-01-28,Sync
eng_lead@company.com,staff_11@company.com,2024-01-22,Report
staff_09@company.com,staff_11@company.com,2024-01-21,Sync
eng_lead@company.com,staff_13@company.com,2024-01-23,Sync
ceo@company.com,staff_08@company.com,2024-02-19,Update
staff_06@company.com,staff_07@company.com,2024-02-15,Planning
sales_lead@company.com,staff_06@company.com,2024-01-22,Planning
eng_lead@company.com,staff_14@company.com,2024-01-12,Planning
staff_04@company.com,staff_07@company.com,2024-01-13,Update
eng_lead@company.com,staff_06@company.com,2024-02-13,Update
staff_03@company.com,staff_02@company.com,2024-01-24,Sync
eng_lead@company.com,staff_15@company.com,2024-02-25,Report
cto@company.com,staff_02@company.com,2024-01-30,Planning
staff_10@company.com,sales_lead@company.com,2024-01-24,Update
sales_lead@company.com,staff_14@company.com,2024-01-16,Update
staff_14@company.com,staff_12@company.com,2024-02-20,Update
cto@company.com,staff_14@company.com,2024-01-23,Sync
ceo@company.com,staff_10@company.com,2024-01-04,Planning
staff_02@company.com,hr_lead@company.com,2024-02-14,Update
cto@company.com,staff_02@company.com,2024-01-22,Report
cto@company.com,staff_11@company.com,2024-01-02,Sync
staff_08@company.com,hr_lead@company.com,2024-02-13,Planning
ceo@company.com,staff_07@company.com,2024-02-13,Update
ceo@company.com,hr_lead@company.com,2024-01-11,Report
staff_06@company.com,staff_05@company.com,2024-01-02,Coffee
staff_04@company.com,staff_12@company.com,2024-02-12,Planning
staff_13@company.com,staff_04@company.com,2024-02-24,Planning
staff_11@company.com,staff_05@company.com,2024-02-06,Planning
staff_06@company.com,staff_05@company.com,2024-02-28,Planning
staff_07@company.com,sales_lead@company.com,2024-01-19,Sync
staff_11@company.com,staff_14@company.com,2024-01-01,Planning
ceo@company.com,staff_12@company.com,2024-01-13,Coffee
staff_09@company.com,staff_08@company.com,2024-02-20,Update
ceo@company.com,sales_lead@company.com,2024-02-19,Sync
staff_05@company.com,eng_lead@company.com,2024-02-06,Planning
ceo@company.com,staff_02@company.com,2024-01-16,Sync
ceo@company.com,staff_07@company.com,2024-01-21,Report
staff_15@company.com,eng_lead@company.com,2024-01-07,Coffee
staff_05@company.com,eng_lead@company.com,2024-02-16,Report
staff_15@company.com,hr_lead@company.com,2024-02-06,Update
staff_04@company.com,staff_14@company.com,2024-03-01,Coffee
cto@company.com,hr_lead@company.com,2024-02-15,Update
cto@company.com,hr_lead@company.com,2024-01-05,Report
cto@company.com,staff_15@company.com,2024-02-25,Sync
staff_07@company.com,staff_10@company.com,2024-02-29,Update
staff_05@company.com,staff_07@company.com,2024-02-18,Sync
eng_lead@company.com,staff_07@company.com,2024-02-07,Report
staff_08@company.com,staff_09@company.com,2024-02-15,Report
cto@company.com,staff_08@company.com,2024-01-31,Sync
staff_11@company.com,sales_lead@company.com,2024-02-16,Sync
ceo@company.com,staff_11@company.com,2024-02-01,Coffee
staff_05@company.com,staff_06@company.com,2024-01-03,Sync
ceo@company.com,staff_02@company.com,2024-02-06,Report
cto@company.com,staff_09@company.com,2024-01-27,Update
staff_05@company.com,staff_15@company.com,2024-02-10,Coffee
staff_08@company.com,sales_lead@company.com,2024-02-05,Update
staff_03@company.com,staff_06@company.com,2024-01-13,Report
staff_07@company.com,staff_12@company.com,2024-02-15,Coffee
staff_02@company.com,staff_03@company.com,2024-01-29,Report
staff_02@company.com,staff_08@company.com,2024-01-07,Coffee
eng_lead@company.com,staff_06@company.com,2024-01-02,Sync
staff_07@company.com,staff_06@company.com,2024-02-25,Planning
cto@company.com,ceo@company.com,2024-02-27,Report
eng_lead@company.com,staff_05@company.com,2024-02-16,Planning
staff_03@company.com,staff_04@company.com,2024-02-28,Sync
staff_01@company.com,hr_lead@company.com,2024-02-13,Coffee
cto@company.com,eng_lead@company.com,2024-01-30,Planning
ceo@company.com,cto@company.com,2024-03-01,Report
staff_08@company.com,sales_lead@company.com,2024-01-27,Sync
staff_01@company.com,hr_lead@company.com,2024-01-21,Sync
staff_08@company.com,sales_lead@company.com,2024-01-10,Coffee
staff_08@company.com,staff_09@company.com,2024-01-05,Report
staff_07@company.com,eng_lead@company.com,2024-02-15,Report
staff_13@company.com,staff_09@company.com,2024-01-18,Coffee
cto@company.com,ceo@company.com,2024-02-26,Sync
ceo@company.com,staff_02@company.com,2024-02-14,Planning
hr_lead@company.com,ceo@company.com,2024-02-09,Sync
staff_02@company.com,staff_05@company.com,2024-01-24,Coffee
staff_11@company.com,sales_lead@company.com,2024-01-02,Report
staff_07@company.com,staff_06@company.com,2024-02-06,Report
cto@company.com,staff_06@company.com,2024-02-15,Sync
staff_07@company.com,staff_06@company.com,2024-01-15,Report
staff_01@company.com,staff_06@company.com,2024-02-26,Planning
staff_11@company.com,sales_lead@company.com,2024-02-03,Update
staff_11@company.com,staff_14@company.com,2024-01-12,Sync
staff_05@company.com,staff_06@company.com,2024-01-07,Sync
sales_lead@company.com,staff_15@company.com,2024-02-07,Update
staff_07@company.com,staff_04@company.com,2024-01-24,Sync
staff_07@company.com,staff_15@company.com,2024-01-19,Report
staff_07@company.com,staff_03@company.com,2024-01-30,Planning
hr_lead@company.com,staff_05@company.com,2024-02-13,Update
ceo@company.com,staff_14@company.com,2024-01-11,Update
staff_08@company.com,staff_09@company.com,2024-02-25,Coffee
cto@company.com,staff_07@company.com,2024-01-19,Update
staff_03@company.com,staff_01@company.com,2024-02-09,Planning
cto@company.com,sales_lead@company.com,2024-02-19,Update
hr_lead@company.com,staff_02@company.com,2024-01-01,Planning
staff_05@company.com,staff_03@company.com,2024-01-12,CONFIDENTIAL: Internal Data Export
staff_03@company.com,staff_08@company.com,2024-02-05,Update
cto@company.com,staff_15@company.com,2024-01-07,Planning
staff_14@company.com,cto@company.com,2024-01-20,Coffee
staff_01@company.com,hr_lead@company.com,2024-01-15,Coffee
hr_lead@company.com,staff_07@company.com,2024-02-06,Sync
staff_01@company.com,staff_02@company.com,2024-01-03,Report
sales_lead@company.com,staff_10@company.com,2024-02-14,Report
staff_02@company.com,staff_11@company.com,2024-02-16,Update
staff_04@company.com,staff_05@company.com,2024-01-22,Report
staff_07@company.com,eng_lead@company.com,2024-01-19,Sync
ceo@company.com,staff_12@company.com,2024-01-19,Sync
cto@company.com,staff_10@company.com,2024-01-05,Update
ceo@company.com,staff_15@company.com,2024-01-30,Report
staff_08@company.com,staff_09@company.com,2024-02-05,Update
staff_07@company.com,staff_02@company.com,2024-02-22,Sync
staff_04@company.com,ceo@company.com,2024-02-12,Planning
staff_02@company.com,staff_01@company.com,2024-02-01,Update
staff_10@company.com,staff_08@company.com,2024-01-10,Update
staff_10@company.com,staff_11@company.com,2024-01-11,Coffee
staff_04@company.com,staff_08@company.com,2024-02-27,Coffee
ceo@company.com,staff_06@company.com,2024-03-01,Update
eng_lead@company.com,staff_06@company.com,2024-02-10,Sync
ceo@company.com,staff_02@company.com,2024-01-16,Sync
hr_lead@company.com,staff_07@company.com,2024-01-11,Coffee
hr_lead@company.com,eng_lead@company.com,2024-01-29,Coffee
staff_12@company.com,eng_lead@company.com,2024-02-21,Report
sales_lead@company.com,staff_10@company.com,2024-02-25,Planning
sales_lead@company.com,staff_08@company.com,2024-01-11,Report
cto@company.com,staff_01@company.com,2024-01-04,Sync
staff_12@company.com,staff_14@company.com,2024-02-25,Planning
staff_07@company.com,staff_04@company.com,2024-02-02,Update
staff_05@company.com,eng_lead@company.com,2024-02-01,CONFIDENTIAL: Internal Data Export
cto@company.com,staff_06@company.com,2024-02-10,Planning
staff_07@company.com,staff_02@company.com,2024-02-11,Sync
staff_03@company.com,staff_01@company.com,2024-02-19,Report
staff_14@company.com,staff_07@company.com,2024-02-24,Update
staff_03@company.com,staff_01@company.com,2024-02-18,Update
staff_07@company.com,eng_lead@company.com,2024-01-31,Planning
staff_03@company.com,staff_05@company.com,2024-02-17,Sync
staff_01@company.com,hr_lead@company.com,2024-01-02,Report
staff_06@company.com,staff_05@company.com,2024-01-23,Planning
staff_14@company.com,staff_10@company.com,2024-02-06,Report
sales_lead@company.com,staff_08@company.com,2024-02-27,Planning
staff_07@company.com,eng_lead@company.com,2024-01-03,Planning
staff_07@company.com,staff_04@company.com,2024-02-09,Sync
staff_11@company.com,sales_lead@company.com,2024-01-04,Update
hr_lead@company.com,staff_02@company.com,2024-02-09,Report
staff_02@company.com,staff_01@company.com,2024-02-20,Coffee
staff_08@company.com,staff_11@company.com,2024-01-30,Planning
staff_15@company.com,hr_lead@company.com,2024-01-24,Sync
staff_11@company.com,sales_lead@company.com,2024-02-02,Sync
staff_01@company.com,staff_03@company.com,2024-02-09,Report
staff_08@company.com,sales_lead@company.com,2024-01-18,Planning
staff_10@company.com,staff_13@company.com,2024-01-15,Update
eng_lead@company.com,ceo@company.com,2024-02-26,Coffee
cto@company.com,eng_lead@company.com,2024-02-20,Report
staff_13@company.com,eng_lead@company.com,2024-01-08,Planning
staff_14@company.com,staff_10@company.com,2024-02-18,Coffee
staff_09@company.com,staff_04@company.com,2024-01-19,Planning
sales_lead@company.com,staff_08@company.com,2024-01-07,Planning
cto@company.com,staff_06@company.com,2024-01-22,Planning
staff_15@company.com,ceo@company.com,2024-01-20,Report
staff_11@company.com,ceo@company.com,2024-01-31,Sync
ceo@company.com,staff_14@company.com,2024-02-21,Planning
staff_14@company.com,ceo@company.com,2024-01-25,Report
ceo@company.com,staff_06@company.com,2024-01-22,Planning
staff_09@company.com,staff_10@company.com,2024-01-20,Planning
staff_04@company.com,eng_lead@company.com,2024-01-21,Sync
staff_06@company.com,staff_05@company.com,2024-01-11,Planning
staff_08@company.com,staff_10@company.com,2024-02-07,Update
staff_08@company.com,staff_10@company.com,2024-01-07,Planning
hr_lead@company.com,staff_09@company.com,2024-01-19,Report
ceo@company.com,staff_01@company.com,2024-02-19,Report
staff_05@company.com,staff_06@company.com,2024-02-17,CONFIDENTIAL: Internal Data Export
staff_11@company.com,staff_08@company.com,2024-01-16,Report
hr_lead@company.com,staff_01@company.com,2024-01-10,Coffee
eng_lead@company.com,staff_14@company.com,2024-01-16,Planning
cto@company.com,staff_15@company.com,2024-02-26,Report
staff_10@company.com,staff_07@company.com,2024-01-10,Planning
staff_07@company.com,staff_06@company.com,2024-02-28,Coffee
staff_11@company.com,staff_13@company.com,2024-02-22,Coffee
ceo@company.com,staff_13@company.com,2024-01-22,Update
staff_05@company.com,staff_07@company.com,2024-02-14,Report
staff_15@company.com,staff_08@company.com,2024-01-21,Coffee
staff_07@company.com,eng_lead@company.com,2024-02-20,Planning
staff_03@company.com,staff_02@company.com,2024-01-08,Report
eng_lead@company.com,staff_06@company.com,2024-02-10,Sync
staff_03@company.com,staff_07@company.com,2024-01-07,Coffee
ceo@company.com,staff_03@company.com,2024-02-19,Coffee
sales_lead@company.com,staff_11@company.com,2024-02-28,Update
staff_10@company.com,sales_lead@company.com,2024-03-01,Report
staff_06@company.com,staff_04@company.com,2024-01-23,Sync
ceo@company.com,staff_14@company.com,2024-02-26,Coffee
cto@company.com,hr_lead@company.com,2024-02-08,Report
ceo@company.com,staff_02@company.com,2024-01-10,Planning
staff_09@company.com,staff_13@company.com,2024-01-28,Update
ceo@company.com,staff_13@company.com,2024-01-01,Sync
staff_01@company.com,hr_lead@company.com,2024-02-11,Report
cto@company.com,hr_lead@company.com,2024-02-12,Sync
eng_lead@company.com,staff_04@company.com,2024-02-03,Report
cto@company.com,staff_03@company.com,2024-02-07,Planning
cto@company.com,staff_11@company.com,2024-01-04,Report
cto@company.com,staff_08@company.com,2024-01-07,Sync
cto@company.com,ceo@company.com,2024-01-18,Sync
eng_lead@company.com,staff_03@company.com,2024-01-28,Update
ceo@company.com,staff_04@company.com,2024-02-15,Report
ceo@company.com,staff_02@company.com,2024-01-31,Report
eng_lead@company.com,sales_lead@company.com,2024-02-13,Sync
staff_15@company.com,staff_04@company.com,2024-01-03,Report
staff_05@company.com,hr_lead@company.com,2024-02-08,Sync
staff_11@company.com,staff_05@company.com,2024-01-12,Coffee
staff_03@company.com,staff_15@company.com,2024-02-03,Coffee
ceo@company.com,staff_09@company.com,2024-02-21,Report
staff_11@company.com,staff_08@company.com,2024-01-27,Coffee
staff_02@company.com,staff_03@company.com,2024-01-11,Sync
sales_lead@company.com,staff_09@company.com,2024-02-27,Coffee
staff_06@company.com,staff_07@company.com,2024-01-08,Coffee
staff_06@company.com,cto@company.com,2024-01-20,Report
staff_13@company.com,staff_09@company.com,2024-01-15,Planning
ceo@company.com,sales_lead@company.com,2024-01-16,Sync
eng_lead@company.com,staff_06@company.com,2024-02-15,Report
staff_07@company.com,staff_11@company.com,2024-01-02,Sync
staff_07@company.com,staff_03@company.com,2024-01-11,Sync
cto@company.com,staff_06@company.com,2024-01-22,Coffee
staff_05@company.com,staff_10@company.com,2024-01-18,CONFIDENTIAL: Internal Data Export
eng_lead@company.com,staff_07@company.com,2024-02-19,Planning
staff_03@company.com,hr_lead@company.com,2024-01-30,Update
staff_09@company.com,staff_15@company.com,2024-02-04,Coffee
staff_15@company.com,staff_12@company.com,2024-01-17,Report
staff_03@company.com,staff_01@company.com,2024-01-08,Update
hr_lead@company.com,staff_08@company.com,2024-01-09,Planning
staff_07@company.com,staff_11@company.com,2024-01-25,Sync
staff_02@company.com,hr_lead@company.com,2024-01-31,Coffee
ceo@company.com,staff_07@company.com,2024-02-05,Planning
ceo@company.com,hr_lead@company.com,2024-01-19,Coffee
ceo@company.com,staff_15@company.com,2024-01-11,Update
staff_05@company.com,sales_lead@company.com,2024-02-05,Coffee
eng_lead@company.com,staff_06@company.com,2024-01-27,Update
staff_05@company.com,hr_lead@company.com,2024-02-23,Coffee
hr_lead@company.com,staff_03@company.com,2024-01-25,Sync
ceo@company.com,staff_10@company.com,2024-01-24,Update
staff_11@company.com,staff_01@company.com,2024-02-20,Update
staff_04@company.com,staff_06@company.com,2024-01-07,Update
eng_lead@company.com,staff_06@company.com,2024-01-20,Coffee
staff_03@company.com,hr_lead@company.com,2024-01-08,Sync
staff_03@company.com,staff_10@company.com,2024-01-23,Sync
ceo@company.com,staff_08@company.com,2024-01-22,Sync
staff_06@company.com,staff_14@company.com,2024-02-05,Sync
cto@company.com,staff_01@company.com,2024-02-01,Report
staff_05@company.com,staff_06@company.com,2024-01-05,Report
staff_14@company.com,staff_03@company.com,2024-01-09,Update
cto@company.com,staff_02@company.com,2024-01-26,Update
ceo@company.com,hr_lead@company.com,2024-02-16,Coffee
staff_14@company.com,staff_10@company.com,2024-02-28,Sync
staff_06@company.com,staff_08@company.com,2024-01-12,Coffee
cto@company.com,staff_04@company.com,2024-01-30,Coffee
staff_11@company.com,staff_10@company.com,2024-02-11,Update
hr_lead@company.com,staff_02@company.com,2024-02-02,Coffee
staff_03@company.com,staff_08@company.com,2024-02-19,Sync
cto@company.com,staff_05@company.com,2024-02-14,Coffee
staff_01@company.com,ceo@company.com,2024-01-30,Update
cto@company.com,hr_lead@company.com,2024-02-02,Sync
hr_lead@company.com,staff_03@company.com,2024-01-27,Planning
sales_lead@company.com,staff_10@company.com,2024-01-01,Sync
staff_06@company.com,staff_04@company.com,2024-02-21,Update
hr_lead@company.com,staff_01@company.com,2024-02-10,Coffee
staff_14@company.com,ceo@company.com,2024-02-07,Sync
staff_04@company.com,staff_12@company.com,2024-02-05,Planning
staff_01@company.com,staff_02@company.com,2024-01-09,Planning
staff_12@company.com,hr_lead@company.com,2024-01-11,Coffee
ceo@company.com,hr_lead@company.com,2024-01-08,Coffee
staff_09@company.com,staff_11@company.com,2024-02-20,Planning
cto@company.com,staff_03@company.com,2024-02-05,Update
staff_07@company.com,staff_06@company.com,2024-01-16,Sync
ceo@company.com,staff_11@company.com,2024-01-27,Update
cto@company.com,staff_01@company.com,2024-02-29,Planning
staff_15@company.com,staff_09@company.com,2024-02-15,Planning
staff_13@company.com,staff_02@company.com,2024-02-06,Sync
cto@company.com,staff_11@company.com,2024-01-29,Report
staff_07@company.com,sales_lead@company.com,2024-02-17,Coffee
staff_12@company.com,ceo@company.com,2024-02-09,Report
ceo@company.com,staff_04@company.com,2024-01-13,Coffee
ceo@company.com,eng_lead@company.com,2024-01-28,Planning
staff_01@company.com,staff_02@company.com,2024-02-29,Coffee
staff_03@company.com,staff_01@company.com,2024-01-17,Coffee
staff_03@company.com,staff_01@company.com,2024-02-13,Planning
ceo@company.com,staff_05@company.com,2024-01-22,Coffee
staff_14@company.com,staff_10@company.com,2024-01-09,Planning
hr_lead@company.com,staff_03@company.com,2024-02-11,Report
cto@company.com,staff_04@company.com,2024-01-17,Sync
staff_01@company.com,hr_lead@company.com,2024-01-17,Planning
cto@company.com,staff_15@company.com,2024-02-27,Sync
cto@company.com,staff_03@company.com,2024-02-04,Coffee
staff_03@company.com,staff_07@company.com,2024-02-17,Sync
staff_12@company.com,staff_05@company.com,2024-02-26,Update
ceo@company.com,hr_lead@company.com,2024-02-06,Update
staff_15@company.com,cto@company.com,2024-02-24,Update
staff_02@company.com,staff_05@company.com,2024-02-10,Report
staff_13@company.com,staff_06@company.com,2024-01-14,Coffee
staff_14@company.com,hr_lead@company.com,2024-02-06,Planning
eng_lead@company.com,staff_06@company.com,2024-02-07,Sync
cto@company.com,eng_lead@company.com,2024-01-04,Coffee
sales_lead@company.com,staff_13@company.com,2024-01-25,Coffee
staff_04@company.com,eng_lead@company.com,2024-02-07,Coffee
staff_03@company.com,hr_lead@company.com,2024-01-09,Report
staff_15@company.com,ceo@company.com,2024-01-18,Sync
staff_07@company.com,cto@company.com,2024-01-12,Planning
staff_11@company.com,sales_lead@company.com,2024-02-04,Update
staff_08@company.com,staff_04@company.com,2024-01-26,Coffee
cto@company.com,staff_14@company.com,2024-02-13,Update
staff_02@company.com,staff_01@company.com,2024-02-15,Planning
cto@company.com,staff_15@company.com,2024-01-18,Update
staff_04@company.com,cto@company.com,2024-02-27,Update
cto@company.com,staff_10@company.com,2024-02-03,Sync
